Symbol,Close_Return,Volatility_7d,Volume_Ratio,Cluster
AAVE,0.013677451916983326,0.0779929754834135,0.09111194512211897,3
ADA,0.005791671826770516,0.061702310717189617,0.08634678469143367,0
ATOM,0.00384349988101787,0.06243728892073137,0.06729315910202258,0
BTC,0.002184648307013512,0.033049649427913955,0.06908921775291287,1
CRO,0.004703119495006477,0.05241405806615051,0.254141479785783,0
DOGE,0.005839305327593511,0.057351787140065925,0.19889138988634916,0
DOT,0.007270675370414846,0.06920499057129767,0.06294539448909796,0
EOS,0.0031606214886984807,0.060438371649050936,0.05513387896606692,0
ETH,0.0053565644630754975,0.05113211167213089,0.08304937119329393,0
LINK,0.00627963627798495,0.06799284895155353,0.15827870723906506,0
LTC,0.002339635260142169,0.047274397035287685,0.10237020052136818,0
MIOTA,0.0035302478408417003,0.06084503935073024,0.08991930528966535,0
SOL,0.014297479900077554,0.08538243978381255,0.1428228816490021,3
TRX,0.00584503501033002,0.06297325212513573,0.056951281298161446,0
UNI,0.011565077876452673,0.08096892474110227,0.08675795093325547,3
USDC,6.102891624813133e-06,0.003400673207529024,0.05100072343939118,1
USDT,1.3039640800826635e-05,0.0031064237873953153,14.369635211164926,2
WBTC,0.003486336962561902,0.03617279210384154,0.5523461340683823,1
XEM,0.0062182163278099,0.06635889247060194,0.4047375805718097,0
XLM,0.004792453982173563,0.05966618657787568,0.2666253685594868,0
XMR,0.0036637894748218626,0.056939018795585446,0.23204759308463468,0
XRP,0.003616354713115305,0.05093265397318403,0.16830259481829932,0
